Data Source,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,51.144,51.044,51.103,51.003,50.889,50.735,50.588,50.394,50.241,50.341,50.306,50.21,50.177,50.121,50.13,50.135,50.297,50.328,50.594,50.841,51.004,51.211,51.478,51.738,52.02,52.299,52.601,52.915,53.179,53.313,49.802,50.451,53.344,53.288,53.119,
United Kingdom,76.273,75.913,75.329,74.883,74.665,74.367,74.511,74.65,74.455,74.745,75.018,74.632,74.818,74.853,74.878,75.015,75.372,75.155,75.429,75.221,74.942,75.122,75.69,75.858,76.219,76.473,76.776,77.114,77.499,77.473,77.656,77.017,77.012,77.032,77.077,
Georgia,68.129,68.577,69.066,69.605,70.189,69.922,69.276,68.728,68.544,69.303,66.736,69.098,68.162,69.464,68.182,67.656,66.112,67.713,68.451,70.158,71.459,72.201,73.309,72.941,73.575,74.847,74.16,72.053,69.837,68.553,68.843,66.157,68.776,68.863,68.846,
Ghana,78.215,78.211,77.915,77.615,77.312,77.009,76.705,76.396,76.084,75.77,75.452,75.161,74.868,74.575,74.281,73.981,73.675,73.368,73.058,72.742,72.423,72.1,71.772,71.442,71.112,70.779,69.928,69.079,68.222,67.369,65.939,65.486,64.852,64.854,64.494,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,65.564,65.583,65.617,65.66,65.701,65.738,65.766,65.901,66.032,66.082,66.153,66.307,66.395,65.666,64.931,64.192,63.448,62.697,61.942,61.186,60.429,59.671,58.914,58.161,57.408,56.656,55.908,55.161,54.416,53.671,53.164,53.384,53.316,53.161,52.855,
"Gambia, The",49.396,49.408,49.405,49.39,49.452,49.486,49.474,49.37,49.315,49.159,49.032,48.894,49.084,48.912,48.737,48.909,49.019,49.005,48.881,48.747,48.642,49.073,48.996,48.999,49.154,49.107,49.141,49.073,48.92,48.804,48.894,48.847,48.801,48.696,48.668,
Guinea-Bissau,63.929,63.904,63.882,63.879,63.886,63.885,63.893,63.873,63.72,63.684,63.654,63.609,63.558,63.513,63.472,63.441,63.413,63.386,63.351,63.308,63.264,63.228,63.166,63.111,63.042,62.974,62.894,62.798,62.674,62.552,61.957,62.314,62.51,62.57,62.516,
Equatorial Guinea,62.171,62.522,62.839,63.116,63.362,63.565,63.713,63.819,63.888,63.88,63.606,63.077,62.454,61.793,61.153,60.721,60.522,60.438,60.454,60.571,60.785,61.108,61.496,61.879,62.238,62.536,62.751,62.878,62.897,62.796,59.321,59.951,62.467,62.214,61.939,
Greece,59.044,57.586,59.103,59.289,60.071,60.61,61.569,61.602,63.093,63.09,63.182,62.58,63.205,63.893,65.119,65.405,65.815,65.71,65.876,66.574,67.114,66.592,66.846,66.842,66.725,66.982,67.179,67.181,67.027,67.176,66.197,66.82,69.138,69.273,69.347,
